"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3"
"PH_CR_10.sorted.bam","10","CR",0.794774,0.752725,0.833739,0.199489,0.160385,0.241971,0.005738,0,0.029589,0.594685,0.511195,0.671827,0.395022,0.314404,0.481765,0.001238,0,0.011608,0.005156,0,0.049648,0.00148,0,0.013839,0.00242,0,0.017789
"PH_CR_11.sorted.bam","11","CR",0.789229,0.747497,0.828094,0.208463,0.168456,0.250124,0.002308,0,0.014721,0.580582,0.497852,0.658399,0.414469,0.334452,0.49755,0.000855,0,0.008496,0.002824,0,0.025388,0.000749,0,0.007826,0.000521,0,0.004897
"PH_CR_12.sorted.bam","12","CR",0.823208,0.78354,0.8622,0.172625,0.129845,0.212885,0.004167,0,0.027218,0.648705,0.569824,0.727346,0.342571,0.256415,0.423116,0.001015,0,0.009321,0.006436,0,0.052315,0.00065,0,0.006353,0.000624,0,0.005965
"PH_CR_1.sorted.bam","1","CR",0.807837,0.766865,0.845568,0.186292,0.143964,0.22959,0.00587,0,0.02966,0.618801,0.535665,0.694546,0.369632,0.282155,0.457331,0.00083,0,0.008631,0.00844,0,0.057301,0.001293,0,0.011639,0.001004,0,0.010116
"PH_CR_2.sorted.bam","2","CR",0.84395,0.807057,0.879528,0.153535,0.115961,0.19163,0.002515,0,0.017361,0.689761,0.615254,0.761766,0.305135,0.227956,0.382024,0.000624,0,0.00648,0.003243,0,0.032174,0.000686,0,0.006815,0.000551,0,0.005641
"PH_CR_3.sorted.bam","3","CR",0.810527,0.771509,0.84924,0.18483,0.141741,0.22548,0.004643,0,0.029723,0.623363,0.545295,0.701142,0.367226,0.280065,0.448766,0.000779,0,0.007998,0.007102,0,0.056146,0.000876,0,0.008693,0.000654,0,0.006804
"PH_CR_4.sorted.bam","4","CR",0.501784,0.494234,0.524943,0.33308,0.280216,0.38103,0.165135,0.118489,0.213957,0.005622,0,0.052229,0.663846,0.558435,0.760604,0.000779,0,0.008087,0.328479,0.234964,0.426623,0.000757,0,0.007487,0.000517,0,0.005012
"PH_CR_5.sorted.bam","5","CR",0.844746,0.808493,0.880934,0.151869,0.11371,0.189638,0.003385,0,0.019593,0.692265,0.619284,0.765045,0.300935,0.224673,0.378056,0.000774,0,0.007765,0.004027,0,0.035285,0.001255,0,0.012452,0.000744,0,0.007684
"PH_CR_6.sorted.bam","6","CR",0.802845,0.760587,0.844698,0.18962,0.142295,0.234999,0.007535,0,0.038767,0.612228,0.526396,0.696039,0.372452,0.273854,0.466268,0.002209,0,0.019924,0.008782,0,0.068357,0.00237,0,0.023143,0.001959,0,0.016481
"PH_CR_7.sorted.bam","7","CR",0.792481,0.75191,0.832543,0.201316,0.156918,0.2431,0.006203,0,0.036224,0.587897,0.506461,0.669464,0.399306,0.308323,0.4847,0.001013,0,0.010678,0.009862,0,0.069764,0.001301,0,0.013295,0.000621,0,0.005813
"PH_CR_8.sorted.bam","8","CR",0.827085,0.786666,0.866314,0.161271,0.116923,0.203761,0.011644,1e-06,0.045457,0.660618,0.577876,0.739014,0.316587,0.227125,0.403236,0.001279,0,0.012309,0.016346,0,0.08823,0.003398,0,0.030137,0.001772,0,0.015942
"PH_CR_9.sorted.bam","9","CR",0.832508,0.790651,0.873998,0.148279,0.098498,0.197364,0.019213,2e-06,0.058986,0.674689,0.587713,0.762682,0.288257,0.178594,0.389741,0.002255,0,0.021379,0.027379,0,0.114262,0.003791,0,0.03584,0.003628,0,0.025455
"PH_FC_10.sorted.bam","10","FC",0.568149,0.521335,0.616213,0.420119,0.36576,0.472127,0.011732,0,0.042438,0.425014,0.315857,0.544634,0.281232,0.047721,0.485584,0.276044,0.157614,0.405802,0.005039,0,0.038717,0.006918,0,0.057802,0.005754,0,0.036948
"PH_FC_11.sorted.bam","11","FC",0.469283,0.421883,0.507449,0.400285,0.339638,0.461545,0.130432,0.084395,0.177765,0.007522,0,0.067451,0.706804,0.585562,0.819798,0.026922,0,0.117276,0.216718,0.078711,0.326127,0.039921,0,0.154128,0.002113,0,0.021144
"PH_FC_12.sorted.bam","12","FC",0.499721,0.478958,0.521147,0.402719,0.358803,0.446717,0.09756,0.057426,0.137214,0.006284,0,0.04514,0.796057,0.708656,0.877637,0.003314,0,0.031839,0.190817,0.105229,0.271123,0.002755,0,0.028924,0.000774,0,0.007313
"PH_FC_1.sorted.bam","1","FC",0.56803,0.521136,0.615162,0.427821,0.378035,0.477176,0.004149,0,0.024379,0.499803,0.362317,0.601217,0.133,0,0.390579,0.36001,0.221363,0.462043,0.003455,0,0.034346,0.002621,0,0.023255,0.00111,0,0.011276
