"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2"
"PH_TB_2.sorted.bam","2","TB",0.034289,0.006493,0.062383,0.965711,0.937617,0.993507,0.019145,0,0.057628,0.030288,0,0.103903,0.950567,0.893886,0.991135
"PH_TB_3.sorted.bam","3","TB",0.060297,0.025867,0.095647,0.939703,0.904353,0.974133,0.056693,0.019884,0.093356,0.007208,0,0.054212,0.936099,0.89649,0.972869
"PH_TB_4.sorted.bam","4","TB",0.192335,0.154194,0.229523,0.807665,0.770477,0.845806,0.000644,0,0.004968,0.383382,0.307072,0.45836,0.615974,0.541551,0.692162
"PH_TB_6.sorted.bam","6","TB",0.027515,0.000527,0.05914,0.972485,0.94086,0.999474,0.014367,0,0.052855,0.026296,0,0.091126,0.959337,0.905251,0.999301
"PH_TB_7.sorted.bam","7","TB",0.147114,0.110799,0.183707,0.852886,0.816293,0.889201,0.004383,0,0.029516,0.285461,0.202202,0.361053,0.710156,0.636831,0.785848
"PH_TB_8.sorted.bam","8","TB",0.033694,0.003236,0.065498,0.966306,0.934502,0.996764,0.02945,6e-06,0.063448,0.008488,0,0.055368,0.962062,0.920631,0.995848
"PH_TB_9.sorted.bam","9","TB",0.499493,0.492728,0.503509,0.500507,0.49649,0.507272,0.001006,0,0.007799,0.996975,0.982646,1,0.002019,0,0.015251
"PH_WC_10.sorted.bam","10","WC",0.314988,0.271956,0.356697,0.685012,0.643303,0.728044,0.00283,0,0.020454,0.624317,0.534599,0.710709,0.372854,0.28754,0.458467
"PH_WC_11.sorted.bam","11","WC",0.296779,0.257228,0.337495,0.703221,0.662505,0.742772,0.002142,0,0.016648,0.589274,0.506941,0.671469,0.408584,0.327241,0.48829
"PH_WC_1.sorted.bam","1","WC",0.262227,0.224157,0.301731,0.737773,0.698269,0.775843,0.002383,0,0.017895,0.519688,0.43595,0.599275,0.477929,0.399448,0.556043
"PH_WC_2.sorted.bam","2","WC",0.313911,0.27497,0.353206,0.686089,0.646794,0.72503,0.002667,0,0.022346,0.622489,0.537899,0.703402,0.374844,0.295386,0.452664
"PH_WC_3.sorted.bam","3","WC",0.277916,0.241826,0.314955,0.722084,0.685045,0.758174,0.004427,0,0.026084,0.546977,0.469271,0.624909,0.448596,0.37292,0.521282
"PH_WC_5.sorted.bam","5","WC",0.342247,0.301816,0.384987,0.657753,0.615013,0.698184,0.000775,0,0.006191,0.682944,0.602129,0.768352,0.316281,0.230984,0.397147
"PH_WC_6.sorted.bam","6","WC",0.295362,0.255487,0.334536,0.704638,0.665464,0.744513,0.007378,0,0.045924,0.575969,0.480021,0.658547,0.416653,0.338923,0.497861
"PH_WC_7.sorted.bam","7","WC",0.313772,0.276239,0.355165,0.686228,0.644835,0.723761,0.001982,0,0.015573,0.623582,0.548811,0.705714,0.374437,0.292307,0.448815
"PH_WC_8.sorted.bam","8","WC",0.323637,0.282189,0.366532,0.676363,0.633468,0.717811,0.001905,0,0.013964,0.643464,0.559018,0.731228,0.354631,0.2682,0.437856
"PH_WC_9.sorted.bam","9","WC",0.27315,0.233577,0.313233,0.72685,0.686767,0.766423,0.002352,0,0.019972,0.541596,0.459515,0.622648,0.456051,0.376041,0.536532
"PH_WF_10.sorted.bam","10","WF",0.351139,0.312229,0.387929,0.648861,0.612071,0.687771,0.000834,0,0.00595,0.700609,0.623601,0.775158,0.298557,0.224289,0.375691
